alert_type,ticker,price,timestamp,date,time,channel
call,MU,255.38,2025-11-10T14:45:05.187000+00:00,2025-11-10,14:45:05,pro-account-alerts
call,LLY,966.17,2025-11-10T14:45:05.303000+00:00,2025-11-10,14:45:05,pro-account-alerts
call,MSFT,502.66,2025-11-10T14:45:05.869000+00:00,2025-11-10,14:45:05,pro-account-alerts
exit,OKLO,110.66,2025-11-10T14:50:00.728000+00:00,2025-11-10,14:50:00,asumasnam-alerts
exit,IONQ,57.53,2025-11-10T14:50:00.798000+00:00,2025-11-10,14:50:00,pro-account-alerts
call,MSFT,504.0,2025-11-10T14:50:01.015000+00:00,2025-11-10,14:50:01,pro-account-alerts
exit,UNH,321.02,2025-11-10T14:50:03.140000+00:00,2025-11-10,14:50:03,pro-account-alerts
call,NDX,25469.406,2025-11-10T14:50:05.346000+00:00,2025-11-10,14:50:05,expert-spx-alerts
exit,AXP,366.82,2025-11-10T14:50:10.439000+00:00,2025-11-10,14:50:10,pro-account-alerts
call,LLY,976.73,2025-11-10T14:55:00.960000+00:00,2025-11-10,14:55:00,pro-account-alerts
call,NDX,25508.6173,2025-11-10T14:55:04.526000+00:00,2025-11-10,14:55:04,expert-spx-alerts
call,META,630.75,2025-11-10T15:00:02.976000+00:00,2025-11-10,15:00:02,asumasnam-alerts
call,GOOGL,289.14,2025-11-10T15:00:07.983000+00:00,2025-11-10,15:00:07,pro-account-alerts
call,AMD,245.76,2025-11-10T15:00:12.906000+00:00,2025-11-10,15:00:12,asumasnam-alerts
call,NDX,25522.0906,2025-11-10T15:00:18.777000+00:00,2025-11-10,15:00:18,expert-spx-alerts
call,CVNA,318.3,2025-11-10T15:00:21.140000+00:00,2025-11-10,15:00:21,asumasnam-alerts
call,PLTR,190.83,2025-11-10T15:05:01.028000+00:00,2025-11-10,15:05:01,pro-account-alerts
call,LLY,978.73,2025-11-10T15:05:01.104000+00:00,2025-11-10,15:05:01,pro-account-alerts
call,META,633.18,2025-11-10T15:05:03.010000+00:00,2025-11-10,15:05:03,asumasnam-alerts
call,NET,243.8,2025-11-10T15:05:25.691000+00:00,2025-11-10,15:05:25,pro-account-alerts
call,NVDA,195.35,2025-11-10T15:10:01.150000+00:00,2025-11-10,15:10:01,asumasnam-alerts
call,IBM,308.84,2025-11-10T15:10:02.531000+00:00,2025-11-10,15:10:02,pro-account-alerts
call,MSFT,505.89,2025-11-10T15:10:03.474000+00:00,2025-11-10,15:10:03,pro-account-alerts
call,NDX,25534.2134,2025-11-10T15:15:05.897000+00:00,2025-11-10,15:15:05,expert-spx-alerts
call,CVNA,319.56,2025-11-10T15:15:12.668000+00:00,2025-11-10,15:15:12,asumasnam-alerts
call,META,634.29,2025-11-10T15:20:01.690000+00:00,2025-11-10,15:20:01,asumasnam-alerts
call,NDX,25536.237,2025-11-10T15:20:04.678000+00:00,2025-11-10,15:20:04,expert-spx-alerts
call,PLTR,193.31,2025-11-10T15:25:01.571000+00:00,2025-11-10,15:25:01,pro-account-alerts
call,AMD,247.34,2025-11-10T15:25:01.585000+00:00,2025-11-10,15:25:01,asumasnam-alerts
call,SPX,6810.42,2025-11-10T15:25:01.608000+00:00,2025-11-10,15:25:01,expert-spx-alerts
call,NVDA,196.475,2025-11-10T15:25:02.272000+00:00,2025-11-10,15:25:02,asumasnam-alerts
call,AVGO,359.295,2025-11-10T15:35:04.621000+00:00,2025-11-10,15:35:04,pro-account-alerts
exit,NDX,25518.9979,2025-11-10T15:35:04.832000+00:00,2025-11-10,15:35:04,expert-spx-alerts
exit,HD,365.41,2025-11-10T15:35:14.782000+00:00,2025-11-10,15:35:14,pro-account-alerts
exit,IBM,308.14,2025-11-10T15:35:17.368000+00:00,2025-11-10,15:35:17,pro-account-alerts
exit,AXP,363.22,2025-11-10T15:40:34.609000+00:00,2025-11-10,15:40:34,pro-account-alerts
exit,NVDA,196.2,2025-11-10T15:45:02.638000+00:00,2025-11-10,15:45:02,asumasnam-alerts
exit,QCOM,169.51,2025-11-10T15:45:09.426000+00:00,2025-11-10,15:45:09,asumasnam-alerts
exit,META,630.65,2025-11-10T15:50:02.668000+00:00,2025-11-10,15:50:02,asumasnam-alerts
exit,CVNA,315.57,2025-11-10T15:50:23.330000+00:00,2025-11-10,15:50:23,asumasnam-alerts
exit,GOOGL,286.55,2025-11-10T15:55:03.335000+00:00,2025-11-10,15:55:03,pro-account-alerts
